stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	6.08	1.05	3.11	4.0	4.0	3.41	{}	n/a	n/a	n/a
13.m4v	8.94	1.2	2.99	5.0	4.0	2.06	{'1': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '0': [u'', u'', u'', u'Relaxed: Free from tension and anxiety', '']}	HVHA	['quit a bit', 'very much']	[40.08193588256836, 58.89662408828735]
9.m4v	8.09	7.04	5.0	4.0	4.0	1.97	{}	n/a	n/a	n/a
5.mp4	1.97	6.85	6.97	3.0	2.0	3.05	{'1': [u'', u'Frustrated: Feeling or expressing distress and annoyance resulting from an inability \nto change or achieve somethin', u'', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['quit a bit', 'very much']	[13.0543692111969, 17.34665822982788]
24.mp4	1.01	8.99	1.01	2.0	2.0	1.57	{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['very much', 'very much']	[28.53727102279663, 36.72538495063782]
2.m4v	1.0	9.0	1.05	2.0	2.0	1.95	{'1': [u'', u'Frustrated: Feeling or expressing distress and annoyance resulting from an inability \nto change or achieve somethin', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['very much', 'quit a bit']	[16.798396825790405, 41.78988790512085]
neutral_2.mp4	5.04	1.0	5.02	3.0	1.0	1.0	{}	n/a	n/a	n/a
17.mp4	1.0	5.0	1.0	3.0	4.0	3.05	{'0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['very much']	[51.49484181404114]
12.m4v	7.99	5.06	4.07	5.0	4.0	3.97	{}	n/a	n/a	n/a
15.mp4	7.41	9.0	9.0	4.0	4.0	4.0	{'0': [u'Triumphant: Feeling or expressing jubilation after a victory or achievement', u'', u'', u'', '']}	HVHA	['quit a bit']	[18.7703959941864]
16.mp4	1.0	8.99	1.0	3.0	3.0	2.96	{'1': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit']	[15.149983167648315, 20.52236008644104]
