stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	8.03	5.0	5.02	4.0	2.0	1.55	{'1': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}	HVHA	['moderately', 'quit a bit']	[31.400628089904785, 42.333518266677856]
5.mp4	1.93	8.57	4.05	3.0	2.0	2.01	{'1': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', '']}	HVHA	['very much', 'very much', 'very much', 'very much']	[8.163431882858276, 21.703902006149292, 33.62310791015625, 44.6895649433136]
4.mp4	1.0	8.67	2.99	1.0	1.0	1.07	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['very much', 'very much', 'very much']	[4.917564153671265, 39.37074613571167, 51.74137902259827]
7.mp4	1.57	8.51	5.02	3.0	1.0	1.1	{'1': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit', 'very much']	[35.490670919418335, 49.482728004455566]
neutral_2.mp4	5.0	4.96	4.44	3.0	1.0	1.08	{}	n/a	n/a	n/a
15.mp4	3.32	8.47	7.04	4.0	1.0	1.08	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['very much', 'very much', 'very much', 'very much']	[14.712841033935547, 23.63961696624756, 36.19390892982483, 51.255817890167236]
2.m4v	1.43	8.01	2.99	2.0	1.0	1.03	{'1': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['very much', 'very much']	[16.59904980659485, 31.1595938205719]
24.mp4	1.1	8.68	1.93	1.0	1.0	1.0	{'1': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', ''], '0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', '']}	HVHA	['very much', 'very much']	[11.45104718208313, 40.00346612930298]
3.mp4	8.05	6.02	6.14	4.0	4.0	1.98	{}	n/a	n/a	n/a
6.mp4	8.65	9.0	7.14	5.0	4.0	3.94	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '2': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}	HVHA	['very much', 'very much', 'very much']	[13.191273927688599, 38.16622710227966, 49.21620011329651]
23.mp4	8.09	7.89	5.02	4.0	3.0	3.0	{'1': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}	HVHA	['very much', 'very much']	[14.003665208816528, 44.846315145492554]
