stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	5.0	1.03	1.0	3.0	1.0	1.0	{}	n/a	n/a	n/a
3.mp4	7.04	1.0	1.0	4.0	1.0	3.01	{'0': [u'Amused: Finding something funny or entertaining.', u'No Emotion From List', u'No Emotion From List', u'No Emotion From List', u'']}	HVHA	['not at all']	[46.0075159072876]
28.mp4	4.96	3.03	1.01	2.0	1.0	1.02	{}	n/a	n/a	n/a
8.m4v	7.06	4.0	2.94	3.0	2.0	4.02	{}	n/a	n/a	n/a
2.m4v	1.97	7.03	4.96	3.0	3.0	1.03	{'0': [u'No Emotion From List', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'No Emotion From List', u'No Emotion From List', '']}	HVHA	['not at all']	[22.036402940750122]
7.mp4	3.01	7.03	2.96	5.0	2.0	1.0	{'0': [u'No Emotion From List', u'Startled: Feeling or showing sudden shock or alarm.', u'No Emotion From List', u'No Emotion From List', '']}	HVHA	['not at all']	[54.05201601982117]
neutral_2.mp4	5.02	1.0	1.0	2.0	1.0	1.0	{}	n/a	n/a	n/a
15.mp4	9.0	7.04	5.04	5.0	4.0	1.0	{'0': [u'Triumphant: Feeling or expressing jubilation after a victory or achievement', u'No Emotion From List', u'No Emotion From List', u'No Emotion From List', '']}	HVHA	['moderately']	[38.92889904975891]
16.mp4	1.06	8.99	7.04	3.0	2.0	1.02	{'0': [u'No Emotion From List', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'No Emotion From List', u'No Emotion From List', '']}	HVHA	['very much']	[7.077406883239746]
13.m4v	6.99	2.99	1.0	5.0	3.0	1.0	{'0': [u'Happy: Feeling or showing pleasure or contentment', u'No Emotion From List', u'No Emotion From List', u'No Emotion From List', '']}	HVHA	['moderately']	[20.227111101150513]
27.mp4	1.05	1.05	1.01	4.0	2.0	1.04	{'0': [u'No Emotion From List', u'No Emotion From List', u'Depressed: in a state of unhappiness or despondency', u'No Emotion From List', '']}	HVHA	['quit a bit']	[45.97548985481262]
