stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	7.12	6.99	7.91	4.0	1.0	2.64	{'0': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', '']}	HVHA	['moderately']	[55.91586470603943]
17.mp4	2.01	6.95	6.06	3.0	1.0	1.64	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit']	[8.347552061080933, 50.91898727416992]
27.mp4	2.7	1.91	1.64	1.0	1.0	1.55	{'1': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '0': [u'', u'', u'Depressed: in a state of unhappiness or despondency', u'', '']}	HVHA	['moderately', 'moderately']	[19.231331825256348, 44.12001585960388]
neutral_2.mp4	5.1	4.9	5.06	2.0	1.0	1.0	{}	n/a	n/a	n/a
4.mp4	1.01	8.9	1.06	1.0	1.0	1.05	{'0': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}	HVHA	['moderately']	[40.42409300804138]
3.mp4	6.85	2.69	2.97	4.0	4.0	2.03	{}	n/a	n/a	n/a
7.mp4	1.0	6.76	1.82	1.0	2.0	1.02	{'0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['moderately']	[48.67379403114319]
1.mp4	1.0	6.64	4.96	2.0	3.0	1.25	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '2': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}	HVHA	['moderately', 'moderately', 'moderately']	[14.893375873565674, 38.81610083580017, 49.24871492385864]
15.mp4	1.82	6.12	5.75	1.0	1.0	1.46	{'0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['quit a bit']	[51.47798418998718]
24.mp4	1.55	2.22	2.26	1.0	2.0	1.03	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', '']}	HVHA	['a little', 'very much']	[9.656864881515503, 29.977664947509766]
13.m4v	7.99	3.11	4.79	4.0	4.0	2.01	{'0': [u'', u'', u'', u'Pleased: Feeling or showing pleasure and satisfaction, especially at an event or a situation', '']}	HVHA	['quit a bit']	[13.358896732330322]
