stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	3.05	6.99	6.06	2.0	2.0	1.0	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '2': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', '']}	HVHA	['not at all', 'a little', 'moderately']	[10.141627788543701, 27.727800846099854, 53.371641874313354]
12.m4v	8.03	7.49	1.49	5.0	1.0	3.0	{'1': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '3': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '2': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'moderately', 'moderately']	[4.074573040008545, 15.609161138534546, 31.20602321624756, 52.62050223350525]
16.mp4	1.01	7.99	7.01	1.0	2.0	1.0	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '3': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '2': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '5': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '4': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '6': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'a little', 'quit a bit', 'moderately', 'quit a bit', 'quit a bit']	[10.563942193984985, 16.98304319381714, 24.5558021068573, 35.371583223342896, 46.37171125411987, 54.44560408592224, 56.35133218765259]
27.mp4	1.0	1.0	2.03	1.0	1.0	1.0	{'1': [u'', u'', u'Despondent: In low spirits from loss of hope or courage.', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '3': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '5': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '4': [u'', u'', u'Despondent: In low spirits from loss of hope or courage.', u'', '']}	HVHA	['moderately', 'quit a bit', 'quit a bit', 'moderately', 'quit a bit', 'moderately']	[21.037898063659668, 30.63329315185547, 34.51197409629822, 42.73671197891235, 49.4569730758667, 57.04594016075134]
17.mp4	2.96	6.06	4.04	2.0	1.0	1.0	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['quit a bit', 'very much']	[8.623614072799683, 49.99770903587341]
13.m4v	8.07	7.01	1.99	4.0	4.0	2.02	{'1': [u'Delighted: Feeling or showing great pleasure', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '2': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'a little']	[6.845206022262573, 12.779623985290527, 35.91612005233765]
15.mp4	1.0	6.02	7.99	1.0	1.0	1.0	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '5': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '4': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}	HVHA	['a little', 'quit a bit', 'quit a bit', 'a little', 'quit a bit', 'moderately']	[5.18622612953186, 22.053561210632324, 31.649147033691406, 35.945261001586914, 49.87037515640259, 57.81101417541504]
neutral_2.mp4	4.94	5.04	6.95	3.0	1.0	1.0	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', '']}	HVHA	['quit a bit', 'moderately']	[22.623171091079712, 26.618548154830933]
8.m4v	9.0	8.01	1.97	5.0	3.0	1.0	{'1': [u'Aroused: Sexually excited', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '3': [u'Aroused: Sexually excited', u'', u'', u'', ''], '2': [u'Delighted: Feeling or showing great pleasure', u'', u'', u'', ''], '4': [u'Aroused: Sexually excited', u'', u'', u'', '']}	HVHA	['moderately', 'moderately', 'moderately', 'quit a bit', 'quit a bit']	[16.69767689704895, 20.643123865127563, 43.4783079624176, 45.51771092414856, 47.85790801048279]
