stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	4.98	1.01	1.0	2.0	1.0	1.0	{}	n/a	n/a	n/a
13.m4v	7.01	4.96	3.96	4.0	2.0	2.02	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['moderately', 'moderately', 'not at all', 'not at all']	[10.28311824798584, 11.885708332061768, 21.050506114959717, 49.7634642124176]
24.mp4	1.03	1.03	1.01	1.0	1.0	1.0	{'1': [u'', u'', u'Despondent: In low spirits from loss of hope or courage.', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '2': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}	HVHA	['quit a bit', 'very much', 'quit a bit']	[16.201283931732178, 28.521113872528076, 45.531853914260864]
1.mp4	2.01	7.99	5.98	3.0	1.0	1.03	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'moderately', 'not at all']	[15.238078832626343, 33.15019679069519, 40.97946071624756, 58.10730981826782]
27.mp4	1.03	4.04	1.03	1.0	3.0	1.98	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['moderately', 'moderately']	[31.003426790237427, 58.26368594169617]
5.mp4	1.03	7.97	3.05	2.0	3.0	2.47	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['quit a bit', 'very much']	[40.764254093170166, 48.326388120651245]
neutral_2.mp4	4.96	1.01	4.98	3.0	1.0	1.0	{}	n/a	n/a	n/a
2.m4v	4.02	1.03	7.04	3.0	1.0	1.01	{'0': [u'', u'', u'', u'', '']}	HVHA	['not at all']	[22.48593282699585]
9.m4v	7.03	8.03	6.0	4.0	1.0	1.01	{'1': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '2': [u'Delighted: Feeling or showing great pleasure', u'', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'quit a bit']	[27.058797121047974, 36.03984594345093, 57.541707038879395]
15.mp4	2.99	7.03	6.04	3.0	1.0	1.01	{'0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['moderately']	[36.39382529258728]
3.mp4	5.06	1.01	6.02	3.0	3.0	2.0	{}	n/a	n/a	n/a
