stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	6.02	2.92	5.79	4.0	2.0	2.98	{'1': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}	HVHA	['moderately', 'quit a bit']	[7.086113929748535, 44.36454105377197]
17.mp4	1.0	9.0	1.1	5.0	2.0	2.01	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '5': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '4': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'very much', 'very much', 'quit a bit', 'very much']	[8.59505009651184, 21.46710205078125, 46.29180407524109, 49.95273518562317, 54.13195204734802, 57.49219608306885]
4.mp4	1.0	4.94	4.96	4.0	1.0	1.0	{'1': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '3': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '2': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['a little', 'quit a bit', 'moderately', 'moderately']	[5.247645854949951, 25.658769845962524, 36.742236852645874, 56.535003900527954]
15.mp4	1.0	6.39	5.15	3.0	2.0	2.02	{'1': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}	HVHA	['a little', 'moderately', 'quit a bit', 'quit a bit']	[12.325459957122803, 31.9677951335907, 40.42661905288696, 52.7135169506073]
7.mp4	1.0	7.08	5.04	3.0	2.0	1.0	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '5': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '4': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['a little', 'moderately', 'quit a bit', 'quit a bit', 'very much', 'very much']	[2.9543981552124023, 22.998239040374756, 37.358158111572266, 49.661561012268066, 54.17508816719055, 59.741809129714966]
2.m4v	1.01	7.55	4.96	3.0	3.0	1.0	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '4': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['a little', 'moderately', 'moderately', 'quit a bit', 'moderately']	[12.507518768310547, 14.998240947723389, 21.9861159324646, 31.681787967681885, 50.087172985076904]
8.m4v	9.0	9.0	9.0	5.0	1.0	1.0	{'1': [u'Lust: Strong sexual desire.', u'', u'', u'', ''], '0': [u'Passionate: Arising from intense feelings of sexual love.', u'', u'', u'', ''], '2': [u'Aroused: Sexually excited', u'', u'', u'', '']}	HVHA	['quit a bit', 'very much', 'not at all']	[7.061694145202637, 41.648996114730835, 48.16854906082153]
neutral_2.mp4	5.0	1.0	5.0	3.0	1.0	1.0	{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', u'']}	HVHA	['moderately']	[33.261260986328125]
24.mp4	1.03	5.75	5.02	3.0	2.0	1.0	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '2': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '4': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['quit a bit', 'not at all', 'very much', 'moderately', 'a little', 'not at all']	[8.424823999404907, 15.612927913665771, 24.28983998298645, 25.877177953720093, 37.428669929504395, 51.086260080337524]
9.m4v	9.0	7.03	8.94	5.0	2.0	2.02	{'1': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '0': [u'Adventorous: Willing to take risks or to try out new methods, ideas, or experiences', u'', u'', u'', ''], '2': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'very much', 'not at all']	[16.219073057174683, 25.028789043426514, 26.61685800552368, 56.841368198394775]
27.mp4	1.0	7.12	1.03	3.0	4.0	1.01	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '2': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['moderately', 'very much', 'very much']	[8.195244073867798, 38.53625512123108, 56.373284101486206]
