stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	5.02	4.96	3.94	3.0	4.0	2.01	{'0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', '']}	HVHA	['quit a bit']	[42.0263831615448]
24.mp4	1.88	6.99	6.89	3.0	4.0	1.54	{'1': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', '']}	HVHA	['very much', 'quit a bit', 'quit a bit', 'very much']	[13.192982196807861, 23.259180068969727, 37.131540060043335, 45.66241812705994]
13.m4v	8.13	7.01	7.08	4.0	5.0	4.05	{'1': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '0': [u'Delighted: Feeling or showing great pleasure', u'', u'', u'', ''], '3': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '2': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '4': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'quit a bit', 'quit a bit', 'moderately']	[21.831296920776367, 24.86952805519104, 27.674031019210815, 47.205501079559326, 56.75432586669922]
2.m4v	1.89	8.01	6.95	3.0	5.0	1.25	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '3': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '2': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '5': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '4': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['very much', 'moderately', 'quit a bit', 'moderately', 'quit a bit', 'moderately']	[9.953779935836792, 17.716294050216675, 32.82403087615967, 42.77339196205139, 47.51492094993591, 53.59084105491638]
16.mp4	2.99	6.93	6.06	2.0	5.0	1.29	{'1': [u'', u'Frustrated: Feeling or expressing distress and annoyance resulting from an inability \nto change or achieve somethin', u'', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '3': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '5': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '4': [u'', u'Distrustful: Feeling or showing distrust of someone or something.', u'', u'', '']}	HVHA	['moderately', 'moderately', 'quit a bit', 'moderately', 'moderately', 'quit a bit']	[7.494067192077637, 16.759014129638672, 24.204463243484497, 33.119142055511475, 49.595391035079956, 55.571572065353394]
neutral_2.mp4	5.06	5.14	4.88	3.0	4.0	1.01	{'0': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', '']}	HVHA	['a little']	[48.625526905059814]
27.mp4	1.01	7.24	3.42	2.0	5.0	3.94	{'1': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '3': [u'', u'', u'Melancholic: Feeling or expressing pensive sadness', u'', ''], '2': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}	HVHA	['very much', 'quit a bit', 'moderately', 'very much']	[3.4721999168395996, 17.244374752044678, 30.94979977607727, 52.03375291824341]
12.m4v	7.99	7.99	6.06	4.0	5.0	4.01	{'1': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}	HVHA	['quit a bit', 'moderately']	[3.5351409912109375, 11.214051961898804]
8.m4v	7.99	8.14	7.08	3.0	4.0	4.03	{'1': [u'Delighted: Feeling or showing great pleasure', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '2': [u'Aroused: Sexually excited', u'', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'quit a bit']	[7.1546618938446045, 19.457833766937256, 42.77870988845825]
15.mp4	3.78	6.99	6.81	3.0	4.0	1.97	{'1': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '3': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', ''], '2': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', '']}	HVHA	['moderately', 'moderately', 'moderately', 'moderately']	[20.385376930236816, 31.7537899017334, 37.98042297363281, 50.56740689277649]
4.mp4	2.97	7.99	3.92	3.0	4.0	1.08	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', ''], '3': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '2': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '4': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'moderately', 'moderately', 'moderately']	[3.5941689014434814, 21.55605387687683, 25.662685871124268, 40.202789068222046, 51.45424199104309]
