stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	3.53	4.79	4.21	2.0	3.0	2.76	{}	n/a	n/a	n/a
8.m4v	5.1	4.88	4.05	3.0	3.0	2.56	{'1': [u'', u'', u'', u'Pensive: Engaged in, involving, or reflecting deep or serious thought.', ''], '0': [u'', u'', u'', u'Pensive: Engaged in, involving, or reflecting deep or serious thought.', '']}	HVHA	['a little', 'moderately']	[18.27990984916687, 27.427999019622803]
3.mp4	5.46	5.19	3.75	3.0	4.0	3.79	{'0': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}	HVHA	['moderately']	[50.970155000686646]
24.mp4	3.63	3.86	5.41	3.0	2.0	2.38	{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['moderately']	[44.55221080780029]
neutral_2.mp4	2.88	2.92	3.4	2.0	2.0	1.99	{}	n/a	n/a	n/a
2.m4v	1.99	2.92	7.08	4.0	1.0	1.0	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Depressed: in a state of unhappiness or despondency', u'', ''], '2': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}	HVHA	['moderately', 'a little', 'moderately']	[23.05309295654297, 37.39281916618347, 51.649250984191895]
27.mp4	1.0	1.89	7.97	2.0	3.0	4.04	{'0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['quit a bit']	[58.60658097267151]
1.mp4	1.89	1.99	4.96	3.0	2.0	1.98	{}	n/a	n/a	n/a
4.mp4	1.05	1.99	5.02	1.0	1.0	1.0	{'1': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', ''], '0': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}	HVHA	['moderately', 'moderately']	[24.87145495414734, 39.67866897583008]
13.m4v	8.97	7.91	3.77	5.0	3.0	5.0	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '3': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '2': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '5': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '4': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '6': [u'Joyous: Full of happiness and joy', u'', u'', u'', '']}	HVHA	['very much', 'quit a bit', 'very much', 'very much', 'quit a bit', 'quit a bit', 'moderately']	[15.968531131744385, 35.95090413093567, 40.37453603744507, 41.39279818534851, 46.66811513900757, 49.222193002700806, 58.303603172302246]
7.mp4	1.28	3.9	6.29	2.0	2.0	1.01	{'1': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '2': [u'', u'Distress: Suffering from extreme anxiety, sorrow, or pain', u'', u'', '']}	HVHA	['moderately', 'a little', 'a little']	[25.644954204559326, 44.27498722076416, 53.156089305877686]
