stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	4.98	2.03	1.0	2.0	2.0	2.93	{}	n/a	n/a	n/a
4.mp4	1.01	1.03	1.01	1.0	5.0	4.04	{}	n/a	n/a	n/a
9.m4v	8.03	8.92	1.99	5.0	5.0	3.99	{'1': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '0': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '3': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '2': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '4': [u'Excited: Very enthusiastic and eager', u'', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'quit a bit', 'quit a bit', 'very much']	[4.083048105239868, 24.644947052001953, 29.860601902008057, 41.813206911087036, 51.60931706428528]
13.m4v	8.07	5.0	1.97	5.0	4.0	5.0	{'1': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '0': [u'Joyous: Full of happiness and joy', u'', u'', u'', ''], '3': [u'Aroused: Sexually excited', u'', u'', u'', ''], '2': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', ''], '5': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '4': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', ''], '6': [u'Amused: Finding something funny or entertaining.', u'', u'', u'', '']}	HVHA	['quit a bit', 'very much', 'very much', 'quit a bit', 'quit a bit', 'quit a bit', 'very much']	[6.180824041366577, 11.011864185333252, 15.960223197937012, 21.74431610107422, 35.48541522026062, 46.35151815414429, 53.874229192733765]
15.mp4	1.0	8.01	1.0	2.0	3.0	1.99	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '3': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '2': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '4': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'moderately', 'quit a bit', 'quit a bit']	[14.632565021514893, 24.07759404182434, 36.11387610435486, 50.20618510246277, 58.23032808303833]
27.mp4	2.01	1.08	1.93	2.0	3.0	1.99	{'1': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '3': [u'', u'', u'Depressed: in a state of unhappiness or despondency', u'', ''], '2': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', '']}	HVHA	['moderately', 'quit a bit', 'quit a bit', 'quit a bit']	[7.73931884765625, 25.325353860855103, 42.44348883628845, 52.05574870109558]
2.m4v	1.03	8.05	1.06	2.0	4.0	1.0	{'1': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '3': [u'', u'Distrustful: Feeling or showing distrust of someone or something.', u'', u'', ''], '2': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '5': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '4': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '7': [u'', u'Distrustful: Feeling or showing distrust of someone or something.', u'', u'', ''], '6': [u'', u'Distrustful: Feeling or showing distrust of someone or something.', u'', u'', ''], '8': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'quit a bit', 'quit a bit', 'quit a bit', 'moderately', 'moderately', 'quit a bit', 'quit a bit']	[11.249214887619019, 15.863056898117065, 21.24587106704712, 26.21078896522522, 30.67425799369812, 37.194194078445435, 42.543282985687256, 48.193711042404175, 58.290618896484375]
7.mp4	1.0	5.91	2.03	2.0	1.0	1.05	{'1': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', ''], '0': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', ''], '3': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '2': [u'', u'', u'Despondent: In low spirits from loss of hope or courage.', u'', ''], '5': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', ''], '4': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '6': [u'', u'', u'Miserable: wretchedly unhappy or uncomfortable', u'', '']}	HVHA	['a little', 'a little', 'quit a bit', 'quit a bit', 'quit a bit', 'a little', 'a little']	[18.872679948806763, 34.486303091049194, 38.665624141693115, 42.66094398498535, 50.751856088638306, 57.48879313468933, 59.07691812515259]
neutral_2.mp4	5.08	1.08	1.0	1.0	2.0	2.02	{'1': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', ''], '0': [u'', u'', u'Dissatisfied: Not content or happy with something.', u'', ''], '2': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['a little', 'a little', 'a little']	[25.623350858688354, 34.600358724594116, 51.61819076538086]
5.mp4	2.94	5.0	1.99	2.0	1.0	1.31	{'1': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '3': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', ''], '2': [u'', u'Disgust: A feeling of revulsion or strong disapproval aroused by something unpleasant\n or offensiv', u'', u'', ''], '4': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['moderately', 'quit a bit', 'a little', 'a little', 'a little']	[8.62509822845459, 15.194797992706299, 24.105037212371826, 35.77342104911804, 47.74270701408386]
8.m4v	8.05	7.99	4.96	4.0	4.0	3.1	{'1': [u'Lust: Strong sexual desire.', u'', u'', u'', ''], '0': [u'Lust: Strong sexual desire.', u'', u'', u'', ''], '3': [u'Aroused: Sexually excited', u'', u'', u'', ''], '2': [u'Aroused: Sexually excited', u'', u'', u'', ''], '5': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '4': [u'Excited: Very enthusiastic and eager', u'', u'', u'', ''], '7': [u'Lust: Strong sexual desire.', u'', u'', u'', ''], '6': [u'Lust: Strong sexual desire.', u'', u'', u'', '']}	HVHA	['quit a bit', 'moderately', 'quit a bit', 'quit a bit', 'quit a bit', 'moderately', 'moderately', 'quit a bit']	[3.4117541313171387, 6.571390151977539, 10.249200105667114, 18.47367024421692, 20.730610132217407, 29.89132809638977, 42.46253418922424, 58.39421606063843]
