stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	6.02	5.02	5.02	4.0	2.0	3.0	{}	n/a	n/a	n/a
16.mp4	2.11	5.0	5.1	3.0	4.0	4.0	{}	n/a	n/a	n/a
2.m4v	2.01	2.97	5.1	3.0	3.0	2.02	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'', u'Sad: Feeling or showing sorrow, unhappy', u'', '']}	HVHA	['moderately', 'moderately']	[53.70380401611328, 58.41108417510986]
8.m4v	6.1	4.98	6.06	4.0	2.0	2.0	{}	n/a	n/a	n/a
7.mp4	1.93	7.03	5.08	1.0	1.0	1.02	{}	HVHA	['not at all', 'not at all', 'not at all']	[50.13121676445007, 52.63514280319214, 56.32452464103699]
12.m4v	5.95	7.01	4.92	3.0	3.0	3.59	{}	n/a	n/a	n/a
3.mp4	6.99	6.02	5.08	4.0	3.0	3.01	{'0': [u'Happy: Feeling or showing pleasure or contentment', u'', u'', u'', '']}	HVHA	['not at all']	[55.67290997505188]
neutral_2.mp4	5.0	2.03	4.83	3.0	2.0	2.1	{}	n/a	n/a	n/a
17.mp4	2.01	8.05	6.91	2.0	2.0	2.0	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '3': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '2': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', ''], '4': [u'', u'Startled: Feeling or showing sudden shock or alarm.', u'', u'', '']}	HVHA	['a little', 'quit a bit', 'quit a bit', 'quit a bit', 'moderately', 'not at all', 'not at all']	[8.24603009223938, 9.214457988739014, 10.199390172958374, 10.449723958969116, 45.60637307167053, 59.36180305480957, 59.6290340423584]
4.mp4	2.3	9.0	1.86	2.0	1.0	1.4	{'5': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '6': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '9': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['quit a bit', 'quit a bit', 'a little', 'not at all', 'not at all', 'moderately', 'moderately', 'not at all', 'not at all', 'moderately']	[2.732903003692627, 3.3840830326080322, 4.836323022842407, 6.338676929473877, 8.842792987823486, 10.027863025665283, 11.19682002067566, 23.649926900863647, 25.035577058792114, 58.005309104919434]
9.m4v	4.94	8.18	8.09	3.0	3.0	2.03	{}	n/a	n/a	n/a
