stimuliName	valence	arousal	dominance	liking	familiarity	relevance	emotionCateg	Quadrant	FivePointScale	MouseClick
neutral_1.mp4	5.81	1.99	3.55	3.0	2.0	2.0	{}	n/a	n/a	n/a
9.m4v	1.1	5.46	1.41	2.0	3.0	1.01	{'1': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', ''], '0': [u'', u'Afraid: Worried that something undesirable will occur or be done', u'', u'', '']}	HVHA	['quit a bit', 'moderately']	[28.03793215751648, 53.49779200553894]
3.mp4	7.04	3.01	6.25	3.0	3.0	2.59	{}	n/a	n/a	n/a
24.mp4	1.08	2.97	1.0	1.0	2.0	1.01	{'1': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', ''], '0': [u'', u'', u'Taken Aback: Shock or surprise someone.', u'', '']}	HVHA	['very much', 'very much']	[35.52715706825256, 53.91582894325256]
15.mp4	1.0	4.88	6.27	1.0	2.0	1.48	{'1': [u'', u'Hate: Have a strong aversion to (something)', u'', u'', ''], '0': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', ''], '2': [u'', u'Angry: Feeling or showing strong annoyance, displeasure, or hostility, full of anger', u'', u'', '']}	HVHA	['quit a bit', 'very much', 'quit a bit']	[46.481383085250854, 48.721596240997314, 58.417179107666016]
neutral_2.mp4	5.0	1.45	4.94	3.0	3.0	1.18	{}	n/a	n/a	n/a
4.mp4	1.0	5.46	1.0	1.0	1.0	2.16	{}	n/a	n/a	n/a
17.mp4	1.08	6.95	1.37	1.0	2.0	2.66	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Tense: Become tense, typically through anxiety or nervousness', u'', u'', '']}	HVHA	['very much', 'very much']	[10.166306018829346, 51.824984073638916]
1.mp4	1.26	6.29	1.6	1.0	2.0	2.02	{'1': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', ''], '0': [u'', u'Alarmed: An anxious awareness of danger', u'', u'', '']}	HVHA	['very much', 'very much']	[36.40330505371094, 57.18243908882141]
5.mp4	2.55	2.88	2.8	2.0	2.0	1.0	{}	n/a	n/a	n/a
2.m4v	2.92	1.72	1.99	1.0	2.0	1.94	{}	n/a	n/a	n/a
